user_id,total_orders,total_items,total_revenue,avg_basket_size,reorder_rate,first_order_date,last_order_date,recency_days,frequency,monetary
5,4,37,2077.9900000000002,9.25,0.3783783783783784,2023-05-16,2023-06-25,484,4,2077.99
7,20,206,15874.07,10.3,0.6699029126213593,2023-08-27,2024-03-17,218,20,15874.07
13,12,81,5050.76,6.75,0.6419753086419753,2023-02-24,2023-05-19,521,12,5050.76
23,4,40,3310.61,10.0,0.1,2023-04-29,2023-06-12,497,4,3310.61
34,5,32,2289.02,6.4,0.1875,2023-06-28,2023-09-16,401,5,2289.02
36,37,153,17166.93,4.14,0.6405228758169934,2023-05-01,2024-04-15,189,37,17166.93
55,7,87,6694.02,12.43,0.5057471264367817,2023-01-30,2023-05-16,524,7,6694.02
71,23,437,32491.23,19.0,0.7574370709382151,2023-01-10,2023-11-20,336,23,32491.23
90,71,670,54732.2,9.44,0.8850746268656716,2023-04-24,2023-12-23,303,71,54732.2
102,6,59,3132.48,9.83,0.423728813559322,2023-02-13,2023-06-18,491,6,3132.48
106,3,41,2729.94,13.67,0.12195121951219512,2023-05-19,2023-06-08,501,3,2729.94
118,27,165,10951.23,6.11,0.703030303030303,2023-02-15,2024-01-10,285,27,10951.23
124,8,79,6228.51,9.88,0.3924050632911392,2023-02-14,2023-05-31,509,8,6228.51
125,13,182,19624.2,14.0,0.45054945054945056,2023-10-22,2024-03-12,223,13,19624.2
129,11,64,4332.08,5.82,0.484375,2023-06-28,2023-09-11,406,11,4332.08
130,3,37,2153.99,12.33,0.16216216216216217,2023-07-10,2023-09-08,409,3,2153.99
132,24,116,9173.35,4.83,0.603448275862069,2023-05-31,2023-08-16,432,24,9173.35
143,14,222,17194.95,15.86,0.4774774774774775,2023-01-05,2023-04-19,551,14,17194.95
144,7,26,2326.48,3.71,0.5769230769230769,2023-06-09,2023-07-18,461,7,2326.48
145,8,67,5606.97,8.38,0.47761194029850745,2023-06-26,2023-07-22,457,8,5606.97
165,7,92,6247.78,13.14,0.45652173913043476,2023-08-10,2023-12-14,312,7,6247.78
184,11,153,13057.369999999999,13.91,0.5294117647058824,2023-03-31,2023-11-15,341,11,13057.37
196,3,3,168.57,1.0,0.3333333333333333,2023-09-22,2023-11-17,339,3,168.57
239,5,45,3456.0099999999998,9.0,0.15555555555555556,2023-02-24,2023-05-26,514,5,3456.01
257,20,121,8540.33,6.05,0.45454545454545453,2023-05-15,2023-08-06,442,20,8540.33
263,3,24,2181.45,8.0,0.3333333333333333,2023-01-29,2023-02-20,609,3,2181.45
273,19,108,7442.49,5.68,0.4351851851851852,2023-06-20,2024-03-07,228,19,7442.49
274,14,188,17986.25,13.43,0.2872340425531915,2023-03-09,2023-10-27,360,14,17986.25
286,3,26,3271.65,8.67,0.0,2023-07-11,2023-07-30,449,3,3271.65
287,14,18,965.9,1.29,0.6111111111111112,2023-08-31,2023-11-07,349,14,965.9
299,9,64,3956.93,7.11,0.234375,2023-01-29,2023-07-06,473,9,3956.93
303,8,13,1313.17,1.62,0.23076923076923078,2023-06-25,2023-10-05,382,8,1313.17
305,4,40,2992.69,10.0,0.175,2023-06-16,2023-09-14,403,4,2992.69
307,34,171,10691.17,5.03,0.8187134502923976,2023-03-17,2024-03-10,225,34,10691.17
308,3,11,925.86,3.67,0.0,2023-07-29,2023-08-29,419,3,925.86
309,25,308,21965.56,12.32,0.4318181818181818,2023-08-01,2023-08-25,423,25,21965.56
322,14,150,10375.84,10.71,0.5666666666666667,2023-07-30,2024-03-16,219,14,10375.84
324,11,93,7240.1,8.45,0.3548387096774194,2023-03-09,2023-08-28,420,11,7240.1
330,7,36,4467.86,5.14,0.3888888888888889,2023-09-07,2024-02-24,240,7,4467.86
350,14,171,11296.34,12.21,0.5029239766081871,2023-01-06,2023-04-21,549,14,11296.34
352,10,195,15927.66,19.5,0.41025641025641024,2023-03-27,2023-10-11,376,10,15927.66
356,3,23,1753.39,7.67,0.043478260869565216,2023-09-06,2023-09-24,393,3,1753.39
395,3,18,1850.15,6.0,0.0,2023-07-18,2023-08-19,429,3,1850.15
401,4,45,2839.48,11.25,0.15555555555555556,2023-02-10,2023-04-04,566,4,2839.48
420,22,128,13502.54,5.82,0.4609375,2023-04-03,2023-11-26,330,22,13502.54
424,4,7,437.67,1.75,0.42857142857142855,2023-01-19,2023-03-04,597,4,437.67
429,29,100,12718.68,3.45,0.53,2023-03-18,2024-02-11,253,29,12718.68
437,19,185,19580.89,9.74,0.2756756756756757,2023-08-30,2024-06-25,118,19,19580.89
492,5,57,4813.33,11.4,0.5087719298245614,2023-01-22,2023-03-05,596,5,4813.33
499,6,59,4058.9,9.83,0.22033898305084745,2023-03-01,2023-03-25,576,6,4058.9
506,4,12,995.9,3.0,0.16666666666666666,2023-02-11,2023-04-28,542,4,995.9
507,7,133,11636.94,19.0,0.24812030075187969,2023-07-01,2023-08-23,425,7,11636.94
509,11,156,12050.58,14.18,0.532051282051282,2023-02-19,2023-09-25,392,11,12050.58
512,4,57,3732.65,14.25,0.2631578947368421,2023-01-18,2023-03-10,591,4,3732.65
513,3,8,643.87,2.67,0.0,2023-01-08,2023-01-16,644,3,643.87
540,5,46,3363.67,9.2,0.043478260869565216,2023-05-05,2023-06-14,495,5,3363.67
550,4,121,11586.16,30.25,0.3884297520661157,2023-09-20,2023-11-05,351,4,11586.16
573,15,81,6670.45,5.4,0.5679012345679012,2023-02-06,2023-08-01,447,15,6670.45
574,11,96,6572.8,8.73,0.4479166666666667,2023-04-10,2023-09-16,401,11,6572.8
597,7,94,6482.88,13.43,0.46808510638297873,2023-07-21,2023-12-14,312,7,6482.88
598,7,21,1676.8799999999999,3.0,0.2857142857142857,2023-10-23,2023-12-19,307,7,1676.88
612,39,556,41589.52,14.26,0.8111510791366906,2023-02-04,2024-01-06,289,39,41589.52
626,94,808,92093.25,8.6,0.7339108910891089,2023-05-13,2024-01-21,274,94,92093.25
633,4,15,1582.17,3.75,0.26666666666666666,2023-05-15,2023-07-31,448,4,1582.17
653,25,384,24517.81,15.36,0.6015625,2023-05-20,2024-03-11,224,25,24517.81
658,32,593,41354.79,18.53,0.7790893760539629,2023-05-02,2024-04-15,189,32,41354.79
664,7,57,4893.6,8.14,0.3684210526315789,2023-06-17,2023-11-11,345,7,4893.6
669,28,289,23450.61,10.32,0.4290657439446367,2023-03-04,2023-09-17,400,28,23450.61
670,5,69,5228.45,13.8,0.11594202898550725,2023-08-05,2023-10-12,375,5,5228.45
688,63,377,25447.239999999998,5.98,0.7214854111405835,2023-10-25,2024-07-18,95,63,25447.24
690,99,851,69424.52,8.6,0.7685076380728555,2023-08-27,2024-07-26,87,99,69424.52
701,7,66,6188.54,9.43,0.10606060606060606,2023-05-14,2023-10-26,361,7,6188.54
705,6,48,4765.92,8.0,0.22916666666666666,2023-09-14,2023-12-22,304,6,4765.92
709,5,192,17856.25,38.4,0.296875,2023-02-25,2023-03-25,576,5,17856.25
712,4,15,1347.12,3.75,0.3333333333333333,2023-10-22,2024-01-20,275,4,1347.12
719,72,912,68339.45,12.67,0.6425438596491229,2023-09-11,2024-09-05,46,72,68339.45
736,3,55,4854.76,18.33,0.21818181818181817,2023-07-18,2023-08-29,419,3,4854.76
756,21,277,17952.24,13.19,0.4657039711191336,2023-03-03,2023-08-28,420,21,17952.24
775,8,65,3905.94,8.12,0.5384615384615384,2023-08-18,2024-01-09,286,8,3905.94
776,3,12,971.49,4.0,0.25,2023-05-22,2023-06-29,480,3,971.49
791,14,80,7019.21,5.71,0.5375,2023-09-30,2023-11-23,333,14,7019.21
796,7,160,12516.86,22.86,0.5125,2023-02-20,2023-05-23,517,7,12516.86
798,12,67,4127.14,5.58,0.7611940298507462,2023-05-14,2023-09-21,396,12,4127.14
801,5,33,2329.25,6.6,0.24242424242424243,2023-09-28,2023-12-09,317,5,2329.25
810,3,22,1483.24,7.33,0.36363636363636365,2023-04-18,2023-05-16,524,3,1483.24
845,22,266,16692.31,12.09,0.7255639097744361,2023-04-22,2023-09-10,407,22,16692.31
860,19,184,17100.19,9.68,0.532608695652174,2023-03-05,2023-11-04,352,19,17100.19
876,4,47,3736.85,11.75,0.0851063829787234,2023-10-14,2023-12-10,316,4,3736.85
879,56,508,35713.6,9.07,0.4822834645669291,2023-10-22,2024-10-08,13,56,35713.6
897,4,52,4338.65,13.0,0.28846153846153844,2023-08-16,2023-10-03,384,4,4338.65
900,7,184,14287.47,26.29,0.32065217391304346,2023-09-18,2023-11-27,329,7,14287.47
901,4,15,1655.99,3.75,0.0,2023-01-29,2023-03-21,580,4,1655.99
905,4,38,2429.02,9.5,0.07894736842105263,2023-02-09,2023-04-02,568,4,2429.02
937,10,73,6441.55,7.3,0.2328767123287671,2023-06-08,2023-10-02,385,10,6441.55
948,9,48,3707.66,5.33,0.08333333333333333,2023-08-13,2024-01-01,294,9,3707.66
950,15,125,7653.43,8.33,0.8,2023-06-09,2024-01-28,267,15,7653.43
965,5,51,3344.85,10.2,0.49019607843137253,2023-08-13,2023-10-28,359,5,3344.85
989,3,19,1134.98,6.33,0.3684210526315789,2023-10-22,2023-11-22,334,3,1134.98
999,38,1001,76722.6,26.34,0.7042957042957043,2023-08-07,2024-06-29,114,38,76722.6
1018,86,1033,94942.78,12.01,0.7928363988383349,2023-01-01,2023-12-23,303,86,94942.78
1025,7,70,4588.18,10.0,0.17142857142857143,2023-06-27,2023-10-19,368,7,4588.18
1028,3,53,6036.18,17.67,0.2830188679245283,2023-01-20,2023-03-10,591,3,6036.18
1029,26,70,4739.46,2.69,0.7,2023-10-25,2024-08-13,69,26,4739.46
1033,4,49,3470.3,12.25,0.04081632653061224,2023-02-24,2023-05-07,533,4,3470.3
1037,7,172,12066.21,24.57,0.4883720930232558,2023-04-25,2023-08-20,428,7,12066.21
1041,15,146,12274.14,9.73,0.5,2023-09-28,2024-01-22,273,15,12274.14
1046,3,118,9282.66,39.33,0.2966101694915254,2023-09-16,2023-10-19,368,3,9282.66
1060,10,14,1178.19,1.4,0.21428571428571427,2023-09-17,2024-03-11,224,10,1178.19
1069,6,64,4548.4,10.67,0.3125,2023-04-17,2023-08-20,428,6,4548.4
1070,4,39,4180.94,9.75,0.1794871794871795,2023-08-30,2023-11-16,340,4,4180.94
1071,8,35,3737.63,4.38,0.2857142857142857,2023-09-06,2023-11-19,337,8,3737.63
1091,5,46,2965.21,9.2,0.3695652173913043,2023-05-26,2023-08-20,428,5,2965.21
1102,9,28,1772.26,3.11,0.5714285714285714,2023-05-21,2023-11-06,350,9,1772.26
1123,7,57,5821.9,8.14,0.21052631578947367,2023-10-02,2024-01-19,276,7,5821.9
1138,59,197,11095.41,3.34,0.7258883248730964,2023-06-28,2024-04-24,180,59,11095.41
1157,15,99,5815.360000000001,6.6,0.3434343434343434,2023-03-25,2023-05-27,513,15,5815.36
1184,8,84,5580.18,10.5,0.34523809523809523,2023-07-05,2023-09-20,397,8,5580.18
1186,17,207,14274.77,12.18,0.357487922705314,2023-03-14,2023-09-03,414,17,14274.77
1200,4,17,886.15,4.25,0.23529411764705882,2023-04-24,2023-07-10,469,4,886.15
1202,61,288,19414.52,4.72,0.7569444444444444,2023-05-12,2024-05-04,170,61,19414.52
1225,26,218,14739.86,8.38,0.5688073394495413,2023-08-30,2024-06-11,132,26,14739.86
1255,6,57,5664.73,9.5,0.17543859649122806,2023-09-23,2023-10-21,366,6,5664.73
1261,9,217,17416.17,24.11,0.3778801843317972,2023-08-06,2024-01-26,269,9,17416.17
1267,27,323,24806.48,11.96,0.6006191950464397,2023-07-21,2024-06-06,137,27,24806.48
1276,9,96,7658.84,10.67,0.4270833333333333,2023-07-18,2023-10-29,358,9,7658.84
1280,30,135,11661.36,4.5,0.4888888888888889,2023-01-26,2023-10-22,365,30,11661.36
1286,7,128,11607.58,18.29,0.421875,2023-08-02,2023-12-10,316,7,11607.58
1301,12,101,8158.63,8.42,0.504950495049505,2023-02-11,2023-10-05,382,12,8158.63
1319,6,59,3826.02,9.83,0.3220338983050847,2023-02-19,2023-06-11,498,6,3826.02
1322,4,17,2176.82,4.25,0.11764705882352941,2023-04-07,2023-07-02,477,4,2176.82
1326,8,17,1644.75,2.12,0.7647058823529411,2023-07-17,2023-10-06,381,8,1644.75
1329,3,22,1835.51,7.33,0.09090909090909091,2023-09-24,2023-11-18,338,3,1835.51
1333,3,63,4838.0199999999995,21.0,0.2222222222222222,2023-02-11,2023-03-23,578,3,4838.02
1335,10,109,8512.54,10.9,0.22935779816513763,2023-05-31,2023-09-01,416,10,8512.54
1345,15,167,13241.98,11.13,0.3413173652694611,2023-02-14,2023-10-01,386,15,13241.98
1353,7,62,4038.51,8.86,0.3225806451612903,2023-09-02,2024-02-06,258,7,4038.51
1362,4,70,5838.37,17.5,0.22857142857142856,2023-10-24,2024-01-10,285,4,5838.37
1383,3,23,1753.52,7.67,0.08695652173913043,2023-09-08,2023-10-14,373,3,1753.52
1385,6,34,2743.6,5.67,0.20588235294117646,2023-10-10,2024-01-07,288,6,2743.6
1388,13,266,24243.58,20.46,0.34962406015037595,2023-08-05,2023-12-08,318,13,24243.58
1390,34,252,19703.65,7.41,0.7023809523809523,2023-05-26,2024-04-22,182,34,19703.65
1394,7,38,2279.32,5.43,0.3157894736842105,2023-08-03,2023-12-30,296,7,2279.32
1398,25,197,28092.29,7.88,0.6294416243654822,2023-08-27,2024-07-22,91,25,28092.29
1399,5,45,3139.32,9.0,0.24444444444444444,2023-07-31,2023-08-27,421,5,3139.32
1412,22,84,6880.25,3.82,0.27380952380952384,2023-07-13,2024-05-02,172,22,6880.25
1417,10,26,2484.32,2.6,0.5,2023-09-20,2023-10-18,369,10,2484.32
1418,11,76,5003.64,6.91,0.35526315789473684,2023-02-19,2023-09-28,389,11,5003.64
1424,67,1819,132004.06,27.15,0.8152831225948324,2023-06-04,2024-05-25,149,67,132004.06
1431,8,103,6136.8099999999995,12.88,0.3786407766990291,2023-03-04,2023-09-05,412,8,6136.81
1450,6,45,5004.2,7.5,0.4222222222222222,2023-10-27,2023-12-26,300,6,5004.2
1453,15,162,11552.23,10.8,0.6790123456790124,2023-07-24,2023-10-09,378,15,11552.23
1458,6,26,3325.11,4.33,0.19230769230769232,2023-05-20,2023-08-30,418,6,3325.11
1461,11,199,14385.46,18.09,0.35175879396984927,2023-03-25,2023-09-21,396,11,14385.46
1473,30,133,7332.1,4.43,0.7593984962406015,2023-08-30,2024-08-04,78,30,7332.1
1481,14,56,5442.8,4.0,0.6428571428571429,2023-04-24,2023-05-29,511,14,5442.8
1488,3,16,1298.92,5.33,0.0625,2023-09-13,2023-11-12,344,3,1298.92
1492,8,46,5148.86,5.75,0.15217391304347827,2023-06-15,2023-10-23,364,8,5148.86
1499,4,40,2620.16,10.0,0.45,2023-06-12,2023-08-22,426,4,2620.16
1544,20,108,15651.09,5.4,0.4722222222222222,2023-09-05,2024-03-04,231,20,15651.09
1551,17,143,10976.94,8.41,0.5664335664335665,2023-09-06,2024-06-30,113,17,10976.94
1567,3,8,238.48000000000002,2.67,0.625,2023-06-13,2023-07-09,470,3,238.48
1573,5,15,1284.52,3.0,0.06666666666666667,2023-02-16,2023-06-16,493,5,1284.52
1576,3,37,2730.21,12.33,0.21621621621621623,2023-04-27,2023-05-17,523,3,2730.21
1577,6,110,8195.74,18.33,0.4818181818181818,2023-03-22,2023-05-28,512,6,8195.74
1583,6,61,5290.46,10.17,0.39344262295081966,2023-04-10,2023-05-08,532,6,5290.46
1600,8,73,5752.41,9.12,0.5068493150684932,2023-09-20,2024-01-18,277,8,5752.41
1609,17,375,26054.91,22.06,0.5546666666666666,2023-03-20,2023-11-28,328,17,26054.91
1649,3,19,2105.58,6.33,0.0,2023-06-03,2023-08-02,446,3,2105.58
1660,5,62,4239.6,12.4,0.3709677419354839,2023-03-23,2023-05-30,510,5,4239.6
1685,16,191,17226.58,11.94,0.35602094240837695,2023-04-11,2023-11-24,332,16,17226.58
1688,3,18,986.38,6.0,0.2222222222222222,2023-02-12,2023-04-05,565,3,986.38
1689,7,57,3575.93,8.14,0.24561403508771928,2023-05-20,2023-07-27,452,7,3575.93
1728,3,4,262.28000000000003,1.33,0.25,2023-02-14,2023-04-15,555,3,262.28
1742,32,369,27318.01,11.53,0.5067750677506775,2023-06-01,2024-04-19,185,32,27318.01
1749,9,38,2910.2999999999997,4.22,0.39473684210526316,2023-09-29,2024-01-10,285,9,2910.3
1750,35,656,41652.83,18.74,0.8109756097560976,2023-01-24,2023-12-29,297,35,41652.83
1769,35,142,10648.94,4.06,0.8028169014084507,2023-07-04,2024-06-07,136,35,10648.94
1773,8,97,8276.68,12.12,0.36082474226804123,2023-06-02,2023-07-31,448,8,8276.68
1779,13,68,4018.18,5.23,0.7352941176470589,2023-01-19,2023-10-01,386,13,4018.18
1780,5,28,3146.13,5.6,0.5357142857142857,2023-02-08,2023-03-31,570,5,3146.13
1782,9,97,8236.72,10.78,0.30927835051546393,2023-05-14,2023-10-29,358,9,8236.72
1791,14,145,9778.21,10.36,0.5172413793103449,2023-01-18,2023-07-11,468,14,9778.21
1799,6,12,653.19,2.0,0.4166666666666667,2023-07-07,2023-07-26,453,6,653.19
1803,22,202,13688.6,9.18,0.48514851485148514,2023-07-22,2024-02-29,235,22,13688.6
1820,10,121,10110.87,12.1,0.49586776859504134,2023-07-20,2024-01-20,275,10,10110.87
1827,3,35,4324.76,11.67,0.3142857142857143,2023-07-13,2023-08-21,427,3,4324.76
1838,30,312,24305.11,10.4,0.6891025641025641,2023-04-26,2024-03-04,231,30,24305.11
1843,7,54,5039.56,7.71,0.18518518518518517,2023-04-11,2023-07-21,458,7,5039.56
1848,6,60,3835.74,10.0,0.48333333333333334,2023-07-19,2023-11-28,328,6,3835.74
1854,3,28,2715.57,9.33,0.25,2023-07-17,2023-08-20,428,3,2715.57
1889,20,165,14792.710000000001,8.25,0.3878787878787879,2023-10-11,2024-07-27,86,20,14792.71
1902,4,7,456.38,1.75,0.2857142857142857,2023-10-08,2023-11-17,339,4,456.38
1923,21,331,21501.75,15.76,0.6283987915407855,2023-05-01,2024-03-04,231,21,21501.75
1924,17,110,9793.1,6.47,0.41818181818181815,2023-10-01,2024-05-02,172,17,9793.1
1934,4,28,1913.67,7.0,0.03571428571428571,2023-01-15,2023-02-27,602,4,1913.67
1935,17,172,13290.42,10.12,0.45348837209302323,2023-04-25,2023-12-19,307,17,13290.42
1942,3,15,945.64,5.0,0.26666666666666666,2023-09-07,2023-11-06,350,3,945.64
1944,7,50,4191.4,7.14,0.4,2023-08-07,2023-11-13,343,7,4191.4
1965,27,362,21962.45,13.41,0.7458563535911602,2023-02-04,2024-01-29,266,27,21962.45
1966,17,43,14852.19,2.53,0.32558139534883723,2023-08-04,2024-02-24,240,17,14852.19
1967,38,161,10502.89,4.24,0.7267080745341615,2023-04-20,2024-03-28,207,38,10502.89
1971,56,332,25218.73,5.93,0.5662650602409639,2023-10-20,2024-07-08,105,56,25218.73
1977,11,191,12655.16,17.36,0.45549738219895286,2023-10-06,2024-03-14,221,11,12655.16
1978,13,112,9346.38,8.62,0.41964285714285715,2023-06-17,2024-01-11,284,13,9346.38
2000,10,49,4076.34,4.9,0.3877551020408163,2023-05-02,2023-07-20,459,10,4076.34
2003,7,11,408.94,1.57,0.7272727272727273,2023-08-28,2023-12-22,304,7,408.94
2041,30,566,41663.09,18.87,0.6925795053003534,2023-02-11,2023-12-20,306,30,41663.09
2061,9,271,24969.27,30.11,0.5719557195571956,2023-09-07,2024-03-03,232,9,24969.27
2087,14,154,11000.44,11.0,0.43506493506493504,2023-07-03,2023-10-06,381,14,11000.44
2114,14,253,19563.64,18.07,0.3952569169960474,2023-08-29,2024-03-04,231,14,19563.64
2116,12,159,11905.65,13.25,0.4716981132075472,2023-09-05,2023-12-04,322,12,11905.65
2123,3,17,1202.08,5.67,0.23529411764705882,2023-06-07,2023-07-23,456,3,1202.08
2137,3,13,1190.89,4.33,0.23076923076923078,2023-03-26,2023-04-13,557,3,1190.89
2139,6,14,929.22,2.33,0.2857142857142857,2023-02-17,2023-07-13,466,6,929.22
2153,17,84,6846.22,4.94,0.5,2023-03-22,2023-08-11,437,17,6846.22
2168,20,191,13270.289999999999,9.55,0.675392670157068,2023-04-24,2024-01-09,286,20,13270.29
2173,7,33,2994.35,4.71,0.24242424242424243,2023-09-10,2024-01-24,271,7,2994.35
2174,7,20,1403.8,2.86,0.5,2023-06-20,2023-10-28,359,7,1403.8
2182,4,20,1479.05,5.0,0.15,2023-07-09,2023-09-13,404,4,1479.05
2185,13,39,5593.52,3.0,0.5128205128205128,2023-09-25,2024-03-24,211,13,5593.52
2208,7,50,2911.92,7.14,0.2,2023-04-03,2023-09-03,414,7,2911.92
2232,11,142,14059.34,12.91,0.3380281690140845,2023-09-20,2024-01-05,290,11,14059.34
2234,15,68,6255.87,4.53,0.4117647058823529,2023-03-31,2023-08-22,426,15,6255.87
2236,5,9,696.8100000000001,1.8,0.0,2023-06-20,2023-09-17,400,5,696.81
2243,9,41,3709.75,4.56,0.4146341463414634,2023-05-17,2023-11-24,332,9,3709.75
2255,28,160,12131.4,5.71,0.525,2023-07-17,2024-06-21,122,28,12131.4
2263,4,94,7816.17,23.5,0.3404255319148936,2023-07-30,2023-10-28,359,4,7816.17
2265,8,25,1328.42,3.12,0.28,2023-07-08,2023-11-26,330,8,1328.42
2269,5,37,3540.0899999999997,7.4,0.32432432432432434,2023-08-29,2023-12-02,324,5,3540.09
2289,14,96,11066.1,6.86,0.28125,2023-07-15,2024-03-25,210,14,11066.1
2297,12,90,8271.85,7.5,0.35555555555555557,2023-01-15,2023-06-12,497,12,8271.85
2301,11,83,7840.04,7.55,0.5542168674698795,2023-03-07,2023-09-03,414,11,7840.04
2332,14,126,8615.57,9.0,0.4126984126984127,2023-10-25,2024-06-03,140,14,8615.57
2347,4,47,3256.53,11.75,0.19148936170212766,2023-01-19,2023-03-15,586,4,3256.53
2363,5,35,2660.97,7.0,0.2571428571428571,2023-04-25,2023-07-23,456,5,2660.97
2364,4,71,6196.96,17.75,0.18309859154929578,2023-05-29,2023-08-03,445,4,6196.96
2368,4,15,1240.84,3.75,0.26666666666666666,2023-07-03,2023-08-22,426,4,1240.84
2376,3,11,995.53,3.67,0.2727272727272727,2023-07-30,2023-08-13,435,3,995.53
2380,6,82,5797.58,13.67,0.3048780487804878,2023-04-03,2023-08-16,432,6,5797.58
2382,15,111,9450.44,7.4,0.5675675675675675,2023-10-21,2024-07-12,101,15,9450.44
2386,16,45,7208.0,2.81,0.5111111111111111,2023-01-08,2023-08-01,447,16,7208.0
2394,43,145,7814.74,3.37,0.9172413793103448,2023-10-23,2024-09-26,25,43,7814.74
2402,5,26,1912.17,5.2,0.23076923076923078,2023-02-01,2023-05-25,515,5,1912.17
2409,48,545,55848.97,11.35,0.41284403669724773,2023-04-28,2024-04-09,195,48,55848.97
2412,4,60,7143.63,15.0,0.31666666666666665,2023-04-22,2023-07-13,466,4,7143.63
2418,14,193,15076.82,13.79,0.5492227979274611,2023-02-24,2023-08-03,445,14,15076.82
2430,7,42,13279.460000000001,6.0,0.11904761904761904,2023-10-27,2024-02-29,235,7,13279.46
2437,20,384,27329.97,19.2,0.6848958333333334,2023-02-03,2023-07-20,459,20,27329.97
2450,11,96,7249.57,8.73,0.2916666666666667,2023-10-03,2024-04-11,193,11,7249.57
2464,7,85,7709.65,12.14,0.3058823529411765,2023-02-19,2023-07-13,466,7,7709.65
2485,14,50,3167.34,3.57,0.3,2023-02-25,2023-07-15,464,14,3167.34
2486,9,67,5025.28,7.44,0.26865671641791045,2023-10-06,2024-02-27,237,9,5025.28
2495,33,412,38683.14,12.48,0.5631067961165048,2023-07-10,2024-06-10,133,33,38683.14
2496,55,537,42332.26,9.76,0.7374301675977654,2023-07-05,2024-06-29,114,55,42332.26
2499,3,27,3677.27,9.0,0.3333333333333333,2023-09-12,2023-10-12,375,3,3677.27
2505,43,355,27874.67,8.26,0.8366197183098592,2023-03-21,2024-02-25,239,43,27874.67
2514,34,416,30774.73,12.24,0.8269230769230769,2023-03-18,2024-03-01,234,34,30774.73
2539,50,437,30143.83,8.74,0.7665903890160183,2023-08-01,2024-07-11,102,50,30143.83
